Entity,Code,Date,people_fully_vaccinated_per_hundred
Georgia,GEO,2/5/2021,1.59
Georgia,GEO,2/6/2021,1.78
Georgia,GEO,2/7/2021,1.98
Georgia,GEO,2/8/2021,2.07
Georgia,GEO,2/9/2021,2.15
Georgia,GEO,2/10/2021,2.37
Georgia,GEO,2/11/2021,2.63
Georgia,GEO,2/12/2021,2.63
Georgia,GEO,2/13/2021,2.96
Georgia,GEO,2/14/2021,3.58
Georgia,GEO,2/16/2021,3.79
Georgia,GEO,2/17/2021,3.79
Georgia,GEO,2/18/2021,4.36
Georgia,GEO,2/19/2021,4.97
Georgia,GEO,2/20/2021,5.35
Georgia,GEO,2/21/2021,5.74
Georgia,GEO,2/22/2021,5.88
Georgia,GEO,2/23/2021,5.91
Georgia,GEO,2/24/2021,6.15
Georgia,GEO,2/25/2021,6.39
Georgia,GEO,2/26/2021,6.69
Georgia,GEO,2/27/2021,7.02
Georgia,GEO,2/28/2021,7.04
Georgia,GEO,3/1/2021,7.04
Georgia,GEO,3/2/2021,7.07
Georgia,GEO,3/3/2021,7.35
Georgia,GEO,3/4/2021,7.63
Georgia,GEO,3/5/2021,7.98
Georgia,GEO,3/6/2021,8.22
Georgia,GEO,3/7/2021,8.47
Georgia,GEO,3/8/2021,8.52
Georgia,GEO,3/9/2021,8.58
Georgia,GEO,3/10/2021,8.59
Georgia,GEO,3/11/2021,8.82
Georgia,GEO,3/12/2021,9.23
Georgia,GEO,3/13/2021,9.5
Georgia,GEO,3/14/2021,9.74
Guam,GUM,1/26/2021,2.29
Guam,GUM,1/27/2021,2.33
Guam,GUM,1/28/2021,2.39
Guam,GUM,1/29/2021,2.63
Guam,GUM,1/30/2021,2.71
Guam,GUM,1/31/2021,2.71
Guam,GUM,2/1/2021,2.86
Guam,GUM,2/2/2021,2.98
Guam,GUM,2/3/2021,3.08
Guam,GUM,2/4/2021,3.08
Guam,GUM,2/5/2021,3.21
Guam,GUM,2/6/2021,3.37
Guam,GUM,2/7/2021,3.51
Guam,GUM,2/8/2021,3.52
Guam,GUM,2/9/2021,3.78
Guam,GUM,2/10/2021,4.15
Guam,GUM,2/11/2021,4.65
Guam,GUM,2/12/2021,5.4
Guam,GUM,2/13/2021,6.1
Guam,GUM,2/14/2021,6.45
Guam,GUM,2/16/2021,6.8
Guam,GUM,2/17/2021,7.39
Guam,GUM,2/18/2021,8.03
Guam,GUM,2/19/2021,9.14
Guam,GUM,2/20/2021,9.71
Guam,GUM,2/21/2021,9.73
Guam,GUM,2/22/2021,10.17
Guam,GUM,2/23/2021,10.46
Guam,GUM,2/24/2021,10.84
Guam,GUM,2/25/2021,11.23
Guam,GUM,2/26/2021,11.24
Guam,GUM,2/27/2021,11.79
